Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Parkinson Disease	C0030567	HFE	3077	Q30201	homeostatic iron regulator		415	0.436	0.846	2.5587e-08	0.4		0.727	11	4	2002.0	2018.0
Parkinson Disease	C0030567	HMOX1	3162	P09601	heme oxygenase 1		666	0.381	0.923	0.0096817	0.4		0.905	21	2	1997.0	2020.0
Parkinson Disease	C0030567	HSPA9	3313	P38646	heat shock protein family A (Hsp70) member 9		198	0.502	0.885	0.96852	0.4		0.818	11	0	2006.0	2018.0
Parkinson Disease	C0030567	IL6	3569	P05231	interleukin 6		2367	0.248	0.962	0.31536	0.4		1.0	23	1	2001.0	2019.0
Parkinson Disease	C0030567	MAOA	4128	P21397	monoamine oxidase A		300	0.465	0.769	0.99928	0.4		0.87	23	2	1994.0	2019.0
Parkinson Disease	C0030567	MTHFR	4524	P42898	methylenetetrahydrofolate reductase		985	0.337	0.885	3.2068e-10	0.4		1.0	21	4	2004.0	2019.0
Parkinson Disease	C0030567	NOS1	4842	P29475	nitric oxide synthase 1		521	0.408	0.885	1.0	0.4		0.727	11	3	1997.0	2019.0
Parkinson Disease	C0030567	ABCB1	5243	P08183	ATP binding cassette subfamily B member 1	Transporter	933	0.344	0.885	1.2564e-05	0.4		0.9	20	4	2002.0	2018.0
Parkinson Disease	C0030567	VPS35	55737	Q96QK1	VPS35 retromer complex component	Transporter	66	0.656	0.5	0.96921	0.4		0.931	58	2	2011.0	2019.0
Parkinson Disease	C0030567	BDNF	627	P23560	brain derived neurotrophic factor	Signaling	992	0.345	0.923	0.65626	0.4		0.906	96	6	1995.0	2020.0
Parkinson Disease	C0030567	SLC6A3	6531	Q01959	solute carrier family 6 member 3	Transporter	373	0.453	0.885	0.99758	0.4		0.935	185	7	1994.0	2020.0
Parkinson Disease	C0030567	SOD1	6647	P00441	superoxide dismutase 1	Enzyme	689	0.379	0.962	0.1773	0.4		0.971	35	3	1993.0	2020.0
Parkinson Disease	C0030567	SOD2	6648	P04179	superoxide dismutase 2	Enzyme	668	0.379	0.923	0.15499	0.4		1.0	11	3	1997.0	2019.0
Parkinson Disease	C0030567	TNF	7124	P01375	tumor necrosis factor	Signaling	2724	0.231	0.962	0.8033	0.4		0.98	50	0	1999.0	2020.0
Parkinson Disease	C0030567	GSTP1	2950	P09211	glutathione S-transferase pi 1		610	0.383	0.923	0.014155	0.38		0.778	9	2	2003.0	2019.0
Parkinson Disease	C0030567	DDIT4	54541	Q9NX09	DNA damage inducible transcript 4		92	0.576	0.769	0.00068309	0.38		1.0	8	0	2006.0	2018.0
Parkinson Disease	C0030567	CYP2E1	1571	P05181	cytochrome P450 family 2 subfamily E member 1		306	0.459	0.885	8.0688e-09	0.37		0.875	8	2	1998.0	2013.0
Parkinson Disease	C0030567	MAP3K5	4217	Q99683	mitogen-activated protein kinase kinase kinase 5	Kinase	170	0.513	0.808	0.51964	0.36		0.833	6	0	2006.0	2020.0
Parkinson Disease	C0030567	NGF	4803	P01138	nerve growth factor	Signaling	616	0.391	0.885	0.82026	0.36		1.0	6	0	2009.0	2018.0
Parkinson Disease	C0030567	NQO1	1728	P15559	NAD(P)H quinone dehydrogenase 1		368	0.434	0.885	1.1867e-09	0.34		1.0	4	0	2001.0	2019.0
Parkinson Disease	C0030567	AIF1	199	P55008	allograft inflammatory factor 1	Calcium-binding protein	166	0.521	0.808	1.8793e-06	0.34		1.0	5	0	2009.0	2019.0
Parkinson Disease	C0030567	GSTA4	2941	O15217	glutathione S-transferase alpha 4		40	0.678	0.462	0.010958	0.33		1.0	4	0	2005.0	2018.0
Parkinson Disease	C0030567	IGF2	3481	P01344	insulin like growth factor 2		604	0.39	0.885	0.044127	0.33		1.0	3	0	2008.0	2017.0
Parkinson Disease	C0030567	TRPM2	7226	O94759	transient receptor potential cation channel subfamily M member 2	Ion channel	133	0.546	0.731	8.9633e-44	0.33		1.0	3	0	2018.0	2019.0
Parkinson Disease	C0030567	HLA-DRB5	3127	Q30154	major histocompatibility complex, class II, DR beta 5	Immune response	62	0.608	0.731	3.6359e-07	0.32		1.0	2	0	2012.0	2017.0
Parkinson Disease	C0030567	IGF2R	3482	P11717	insulin like growth factor 2 receptor	Receptor	166	0.518	0.731	1.0	0.32		1.0	3	0	2009.0	2016.0
Parkinson Disease	C0030567	INS	3630	P01308	insulin		405	0.445	0.923	0.30091	0.32		1.0	3	0	2008.0	2020.0
Parkinson Disease	C0030567	ENO2	2026	P09104	enolase 2	Enzyme	239	0.475	0.846	0.38396	0.31		1.0	2	0	2019.0	2020.0
Parkinson Disease	C0030567	FBP1	2203	P09467	fructose-bisphosphatase 1	Enzyme	125	0.575	0.692	0.079124	0.31		1.0	2	0	2008.0	2010.0
Parkinson Disease	C0030567	FCER2	2208	P06734	Fc fragment of IgE receptor II	Receptor	104	0.56	0.654	7.6122e-12	0.31		1.0	2	0	1999.0	2015.0
Parkinson Disease	C0030567	GPX1	2876	P07203	glutathione peroxidase 1	Enzyme	290	0.458	0.923	3.8518e-05	0.31		1.0	2	0	2005.0	2009.0
Parkinson Disease	C0030567	HGF	3082	P14210	hepatocyte growth factor	Enzyme	671	0.374	0.885	0.99947	0.31		1.0	1	0	2006.0	2006.0
Parkinson Disease	C0030567	HSPA1A	3303	P0DMV8;P0DMV9	heat shock protein family A (Hsp70) member 1A		229	0.486	0.769	0.030228	0.31		1.0	2	0	2004.0	2005.0
Parkinson Disease	C0030567	INSR	3643	P06213	insulin receptor	Kinase	452	0.432	0.846	3.6145e-05	0.31		1.0	2	0	1996.0	2009.0
Parkinson Disease	C0030567	MIR181C	406957		microRNA 181c		103	0.555	0.769		0.31		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	MAG	4099	P20916	myelin associated glycoprotein	Receptor	106	0.579	0.692	0.49228	0.31		1.0	2	0	2009.0	2017.0
Parkinson Disease	C0030567	MTA1	9112	Q13330	metastasis associated 1	Nucleic acid binding	118	0.547	0.692	1.0	0.31		1.0	1	0	2016.0	2016.0
Parkinson Disease	C0030567	BAG5	9529	Q9UL15	BAG cochaperone 5		11	0.769	0.346	1.81e-06	0.31		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	TCL1B	9623	O95988	T cell leukemia/lymphoma 1B		100	0.561	0.5	0.010127	0.31		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	ADARB2	105	Q9NS39	adenosine deaminase RNA specific B2 (inactive)	Enzyme	33	0.716	0.308	0.85603	0.3		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	COL19A1	1310	Q14993	collagen type XIX alpha 1 chain		4	0.89	0.154	4.8406e-33	0.3		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	SLC2A14	144195	Q8TDB8	solute carrier family 2 member 14	Transporter	8	0.821	0.308	0.041173	0.3		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	EDN1	1906	P05305	endothelin 1	Signaling	679	0.38	0.846	0.45504	0.3		1.0	1	0	2009.0	2009.0
Parkinson Disease	C0030567	FGB	2244	P02675	fibrinogen beta chain	Signaling	95	0.584	0.692	0.56616	0.3		1.0	1	0	2012.0	2012.0
Parkinson Disease	C0030567	CNTNAP2	26047	Q9UHC6	contactin associated protein 2		203	0.53	0.846	2.8673e-09	0.3		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	GSK3B	2932	P49841	glycogen synthase kinase 3 beta	Kinase	393	0.43	0.846	0.95571	0.3		1.0	23	3	2005.0	2019.0
Parkinson Disease	C0030567	HBG1	3047	P69891	hemoglobin subunit gamma 1		65	0.615	0.538	0.56611	0.3		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	HSPA4	3308	P34932	heat shock protein family A (Hsp70) member 4		550	0.394	0.923	0.99954	0.3		1.0	15	0	2000.0	2019.0
Parkinson Disease	C0030567	HSPA8	3312	P11142	heat shock protein family A (Hsp70) member 8		124	0.553	0.808	0.99863	0.3		0.923	13	1	2007.0	2020.0
Parkinson Disease	C0030567	IL1B	3553	P01584	interleukin 1 beta		1801	0.276	0.962	0.13005	0.3		0.875	32	2	2002.0	2020.0
Parkinson Disease	C0030567	DRAXIN	374946	Q8NBI3	dorsal inhibitory axon guidance protein		1	1.0	0.038	1.8935e-10	0.3		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	KCNJ4	3761	P48050	potassium inwardly rectifying channel subfamily J member 4	Ion channel	16	0.805	0.385	0.9649	0.3		1.0	1	0	2008.0	2008.0
Parkinson Disease	C0030567	MAP2	4133	P11137	microtubule associated protein 2		126	0.537	0.692	1.0	0.3		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	CEACAM6	4680	P40199	CEA cell adhesion molecule 6		110	0.561	0.731	1.1884e-06	0.3		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	NR4A2	4929	P43354	nuclear receptor subfamily 4 group A member 2	Nuclear receptor	166	0.529	0.846	0.99959	0.3		0.973	73	2	1999.0	2019.0
Parkinson Disease	C0030567	PITX3	5309	O75364	paired like homeodomain 3		93	0.585	0.692	0.81276	0.3		0.893	28	4	2001.0	2020.0
Parkinson Disease	C0030567	NCAPG2	54892	Q86XI2	non-SMC condensin II complex subunit G2		80	0.603	0.731	0.97764	0.3		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	SLC30A10	55532	Q6XR72	solute carrier family 30 member 10	Transporter	120	0.578	0.654	0.97952	0.3		1.0	1	0	2014.0	2014.0
Parkinson Disease	C0030567	NECTIN2	5819	Q92692	nectin cell adhesion molecule 2		106	0.575	0.769	0.96926	0.3		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	RPL6	6128	Q02878	ribosomal protein L6	Nucleic acid binding	27	0.7	0.385	0.99326	0.3		1.0	1	0	2008.0	2008.0
Parkinson Disease	C0030567	RPL23A	6147	P62750	ribosomal protein L23a	Nucleic acid binding	11	0.78	0.308	0.90573	0.3		1.0	1	0	2008.0	2008.0
Parkinson Disease	C0030567	RPS8	6202	P62241	ribosomal protein S8	Nucleic acid binding	9	0.805	0.192	0.99003	0.3		1.0	1	0	2008.0	2008.0
Parkinson Disease	C0030567	TALDO1	6888	P37837	transaldolase 1		85	0.608	0.654	2.5234e-06	0.3		1.0	1	0	2012.0	2012.0
Parkinson Disease	C0030567	TFAM	7019	Q00059	transcription factor A, mitochondrial		147	0.529	0.731	0.17259	0.3		0.9	10	1	2007.0	2020.0
Parkinson Disease	C0030567	RPL14	9045	P50914	ribosomal protein L14	Nucleic acid binding	22	0.722	0.308	0.89508	0.3		1.0	1	0	2008.0	2008.0
Parkinson Disease	C0030567	OPTN	10133	Q96CV9	optineurin		136	0.548	0.808	5.91e-18	0.26		1.0	7	1	2013.0	2020.0
Parkinson Disease	C0030567	SPR	6697	P35270	sepiapterin reductase		90	0.631	0.654	0.0434	0.26		1.0	7	2	2003.0	2016.0
Parkinson Disease	C0030567	TWNK	56652	Q96RR1	twinkle mtDNA helicase	Enzyme	245	0.516	0.692	0.0032311	0.24		1.0	4	0	2004.0	2015.0
Parkinson Disease	C0030567	ATG7	10533	O95352	autophagy related 7	Enzyme	179	0.505	0.769	7.3758e-12	0.23		1.0	3	0	2013.0	2019.0
Parkinson Disease	C0030567	GRK5	2869	P34947	G protein-coupled receptor kinase 5	Kinase	86	0.588	0.769	0.67567	0.23		1.0	4	2	2008.0	2015.0
Parkinson Disease	C0030567	HTR1A	3350	P08908	5-hydroxytryptamine receptor 1A	G-protein coupled receptor	229	0.522	0.846	0.19956	0.23		1.0	4	0	2006.0	2020.0
Parkinson Disease	C0030567	PENK	5179	P01210	proenkephalin	Signaling	124	0.56	0.808	0.0002077	0.23		1.0	4	0	1995.0	2007.0
Parkinson Disease	C0030567	GDF5	8200	P43026	growth differentiation factor 5	Signaling	238	0.511	0.692	0.67002	0.23		1.0	4	0	2012.0	2017.0
Parkinson Disease	C0030567	ADH7	131	P40394	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	Enzyme	42	0.656	0.462	1.5123e-11	0.22		1.0	3	0	2000.0	2020.0
Parkinson Disease	C0030567	DLG4	1742	P78352	discs large MAGUK scaffold protein 4	Receptor	91	0.595	0.654	0.99954	0.22		0.667	3	0	2005.0	2019.0
Parkinson Disease	C0030567	ABL1	25	P00519	ABL proto-oncogene 1, non-receptor tyrosine kinase	Kinase	395	0.432	0.923	0.99998	0.22		1.0	2	0	2014.0	2017.0
Parkinson Disease	C0030567	PPP1R9B	84687	Q96SB3	protein phosphatase 1 regulatory subunit 9B		42	0.678	0.423	0.99975	0.22		1.0	3	0	2008.0	2018.0
Parkinson Disease	C0030567	GRK6	2870	P43250	G protein-coupled receptor kinase 6	Kinase	51	0.67	0.654	0.00048726	0.21		1.0	2	0	2008.0	2010.0
Parkinson Disease	C0030567	HSF1	3297	Q00613	heat shock transcription factor 1	Transcription factor	185	0.507	0.769	0.74762	0.21		1.0	3	0	2014.0	2018.0
Parkinson Disease	C0030567	HSPD1	3329	P10809	heat shock protein family D (Hsp60) member 1		398	0.432	0.808	0.99257	0.21		1.0	2	0	2013.0	2020.0
Parkinson Disease	C0030567	LEP	3952	P41159	leptin		931	0.349	0.846	0.46491	0.21		1.0	2	0	2007.0	2019.0
Parkinson Disease	C0030567	ND3	4537	P03897	NADH dehydrogenase, subunit 3 (complex I)		113	0.604	0.654		0.21		1.0	2	0	2005.0	2011.0
Parkinson Disease	C0030567	PTN	5764	P21246	pleiotrophin	Signaling	164	0.515	0.808	0.0075073	0.21		1.0	2	0	2009.0	2018.0
Parkinson Disease	C0030567	ARPC3	10094	O15145	actin related protein 2/3 complex subunit 3	Cellular structure	6	0.839	0.154	0.21578	0.2		1.0	1	0	2010.0	2010.0
Parkinson Disease	C0030567	ADCY5	111	O95622	adenylate cyclase 5		103	0.617	0.577	0.99928	0.2		1.0	1	0	2003.0	2003.0
Parkinson Disease	C0030567	COX10	1352	Q12887	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10	Enzyme	81	0.623	0.654	0.08405	0.2			0	0		
Parkinson Disease	C0030567	CCN2	1490	P29279	cellular communication network factor 2	Signaling	518	0.399	0.846	0.00050202	0.2		1.0	1	0	2009.0	2009.0
Parkinson Disease	C0030567	GRK2	156	P25098	G protein-coupled receptor kinase 2	Kinase	159	0.532	0.654	0.99998	0.2		1.0	1	0	2008.0	2008.0
Parkinson Disease	C0030567	GRK3	157	P35626	G protein-coupled receptor kinase 3	Kinase	56	0.621	0.731	0.71059	0.2		1.0	1	0	2008.0	2008.0
Parkinson Disease	C0030567	DBN1	1627	Q16643	drebrin 1	Cellular structure	54	0.633	0.538	0.99705	0.2		1.0	1	0	2013.0	2013.0
Parkinson Disease	C0030567	DLG1	1739	Q12959	discs large MAGUK scaffold protein 1	Receptor	54	0.647	0.654	0.99393	0.2		1.0	1	0	2005.0	2005.0
Parkinson Disease	C0030567	GCH1	2643	P30793	GTP cyclohydrolase 1	Enzyme	254	0.511	0.846	0.90292	0.2		1.0	33	3	1996.0	2019.0
Parkinson Disease	C0030567	STK39	27347	Q9UEW8	serine/threonine kinase 39	Kinase	38	0.67	0.5	0.99916	0.2		1.0	11	2	2011.0	2017.0
Parkinson Disease	C0030567	APOE	348	P02649	apolipoprotein E		1049	0.338	0.962	0.0018685	0.2		0.922	90	1	1994.0	2020.0
Parkinson Disease	C0030567	FASLG	356	P48023	Fas ligand	Signaling	398	0.43	0.885	0.18345	0.2		1.0	1	0	2007.0	2007.0
Parkinson Disease	C0030567	RRN3	54700	Q9NYV6	RRN3 homolog, RNA polymerase I transcription factor	Transcription factor	26	0.711	0.346	1.618e-05	0.2			0	0		
Parkinson Disease	C0030567	GJC2	57165	Q5T442	gap junction protein gamma 2	Cell-cell junction	115	0.593	0.692	0.010438	0.2		1.0	1	0	2011.0	2011.0
Parkinson Disease	C0030567	HCN3	57657	Q9P1Z3	hyperpolarization activated cyclic nucleotide gated potassium channel 3	Ion channel	15	0.792	0.308	2.5694e-05	0.2		1.0	1	0	2009.0	2009.0
Parkinson Disease	C0030567	RIT2	6014	Q99578	Ras like without CAAX 2	Enzyme modulator	46	0.647	0.538	0.00063244	0.2		0.938	16	2	2011.0	2020.0
Parkinson Disease	C0030567	FEZ1	9638	Q99689	fasciculation and elongation protein zeta 1		41	0.666	0.5	0.75002	0.2		1.0	1	0	2014.0	2014.0
Parkinson Disease	C0030567	SLC41A1	254428	Q8IVJ1	solute carrier family 41 member 1	Transporter	13	0.769	0.385	0.65493	0.18		1.0	10	5	2010.0	2017.0
Parkinson Disease	C0030567	LAMP3	27074	Q9UQV4	lysosomal associated membrane protein 3	Transporter	104	0.56	0.692	0.00026747	0.18		1.0	9	3	2011.0	2019.0
Parkinson Disease	C0030567	MCCC1	56922	Q96RQ3	methylcrotonoyl-CoA carboxylase 1	Enzyme	42	0.7	0.308	4.0152e-12	0.17		1.0	13	7	2011.0	2017.0
Parkinson Disease	C0030567	CCDC62	84660	Q6P9F0	coiled-coil domain containing 62		15	0.805	0.308	4.3887e-16	0.17		1.0	12	2	2011.0	2017.0
Parkinson Disease	C0030567	GPNMB	10457	Q14956	glycoprotein nmb	Signaling	103	0.566	0.692	2.8803e-27	0.16		1.0	8	2	2011.0	2019.0
Parkinson Disease	C0030567	DGKQ	1609	P52824	diacylglycerol kinase theta	Kinase	17	0.736	0.423	1.7603e-09	0.16		1.0	9	2	2009.0	2020.0
Parkinson Disease	C0030567	STH	246744	Q8IWL8	saitohin		27	0.705	0.385		0.16		1.0	7	3	2003.0	2015.0
Parkinson Disease	C0030567	VPS13C	54832	Q709C8	vacuolar protein sorting 13 homolog C		71	0.653	0.346	7.6491e-49	0.16		1.0	7	5	2016.0	2018.0
Parkinson Disease	C0030567	TMEM175	84286	Q9BSA9	transmembrane protein 175		7	0.861	0.154	3.0549e-09	0.16		1.0	12	5	2011.0	2020.0
Parkinson Disease	C0030567	HLA-DRB1	3123	P01911	major histocompatibility complex, class II, DR beta 1	Immune response	1018	0.333	0.923	0.0010997	0.15		1.0	6	2	2010.0	2019.0
Parkinson Disease	C0030567	CTSB	1508	P07858	cathepsin B	Enzyme	304	0.457	0.846	5.8819e-11	0.14		1.0	5	1	2016.0	2020.0
Parkinson Disease	C0030567	SIPA1L2	57568	Q9P2F8	signal induced proliferation associated 1 like 2	Enzyme modulator	7	0.821	0.192	0.99215	0.14		1.0	6	1	2014.0	2018.0
Parkinson Disease	C0030567	SREBF1	6720	P36956	sterol regulatory element binding transcription factor 1		159	0.518	0.808	0.014708	0.14		0.75	4	1	2011.0	2019.0
Parkinson Disease	C0030567	NUCKS1	64710	Q9H1E3	nuclear casein kinase and cyclin dependent kinase substrate 1		36	0.691	0.5	0.96937	0.13		1.0	5	2	2009.0	2017.0
Parkinson Disease	C0030567	HIP1R	9026	O75146	huntingtin interacting protein 1 related	Cellular structure	29	0.7	0.423	1.4566e-15	0.13		1.0	4	1	2012.0	2015.0
Parkinson Disease	C0030567	MAPT-AS1	100128977		MAPT antisense RNA 1		34	0.711	0.269		0.12		1.0	6	32	2009.0	2019.0
Parkinson Disease	C0030567	BCKDK	10295	O14874	branched chain keto acid dehydrogenase kinase	Kinase	12	0.769	0.154	5.6598e-05	0.12		1.0	4	1	2014.0	2019.0
Parkinson Disease	C0030567	RAI1	10743	Q7Z5J4	retinoic acid induced 1	Transcription factor	205	0.545	0.731	1.0	0.12		1.0	2	2	2011.0	2016.0
Parkinson Disease	C0030567	FAM47E	100129583	Q6ZV65	family with sequence similarity 47 member E		1	1.0	0.038	0.0017029	0.11		1.0	6	3	2009.0	2017.0
Parkinson Disease	C0030567	FAM47E-STBD1	100631383	Q6ZV65	FAM47E-STBD1 readthrough		1	1.0	0.038	7.6594e-12	0.11		1.0	6	3	2009.0	2017.0
Parkinson Disease	C0030567	LHFPL2	10184	Q6ZUX7	LHFPL tetraspan subfamily member 2		8	0.931	0.154	0.056209	0.11		1.0	1	1	2016.0	2016.0
Parkinson Disease	C0030567	TCEANC2	127428	Q96MN5	transcription elongation factor A N-terminal and central domain containing 2	Nucleic acid binding	1	1.0	0.038	2.7615e-07	0.11		1.0	2	1	2015.0	2015.0
Parkinson Disease	C0030567	DLG2	1740	Q15700	discs large MAGUK scaffold protein 2	Receptor	44	0.67	0.577	0.70796	0.11		1.0	4	2	2014.0	2018.0
Parkinson Disease	C0030567	INPP5F	22876	Q9Y2H2	inositol polyphosphate-5-phosphatase F		9	0.805	0.231	2.3623e-07	0.11		1.0	3	1	2014.0	2018.0
Parkinson Disease	C0030567	MMRN1	22915	Q13201	multimerin 1		272	0.465	0.846	2.0714e-25	0.11		1.0	2	1	2012.0	2012.0
Parkinson Disease	C0030567	KANSL1	284058	Q7Z3B3	KAT8 regulatory NSL complex subunit 1		140	0.592	0.731	0.99972	0.11		1.0	5	11	2008.0	2014.0
Parkinson Disease	C0030567	ITPKB	3707	P27987	inositol-trisphosphate 3-kinase B	Kinase	17	0.805	0.192	0.99994	0.11		1.0	2	1	2017.0	2020.0
Parkinson Disease	C0030567	LMNA	4000	P02545	lamin A/C		824	0.384	0.885	0.9994	0.11		1.0	2	1	2014.0	2019.0
Parkinson Disease	C0030567	NSF	4905	P46459	N-ethylmaleimide sensitive factor, vesicle fusing ATPase	Enzyme	40	0.659	0.577	0.018338	0.11		0.833	6	4	2009.0	2012.0
Parkinson Disease	C0030567	PAM	5066	P19021	peptidylglycine alpha-amidating monooxygenase	Enzyme	155	0.542	0.692	6.934e-06	0.11		1.0	2	1	2016.0	2017.0
Parkinson Disease	C0030567	BIN3	55909	Q9NQY0	bridging integrator 3		5	0.931	0.115	5.8224e-13	0.11		1.0	2	1	2017.0	2018.0
Parkinson Disease	C0030567	RREB1	6239	Q92766	ras responsive element binding protein 1		227	0.5	0.808	1.0	0.11		1.0	2	1	2006.0	2019.0
Parkinson Disease	C0030567	SH3GL2	6456	Q99962	SH3 domain containing GRB2 like 2, endophilin A1		37	0.659	0.5	0.00011862	0.11		1.0	4	3	2012.0	2019.0
Parkinson Disease	C0030567	TPM1	7168	P09493	tropomyosin 1	Cellular structure	117	0.56	0.615	0.0010165	0.11		1.0	1	1	2016.0	2016.0
Parkinson Disease	C0030567	ITGA8	8516	P53708	integrin subunit alpha 8		46	0.641	0.577	6.0785e-13	0.11		1.0	3	2	2012.0	2018.0
Parkinson Disease	C0030567	NAT2	10	P11245	N-acetyltransferase 2	Enzyme	311	0.451	0.885	3.2744e-06	0.1		1.0	13	1	1997.0	2016.0
Parkinson Disease	C0030567	ZSCAN16-AS1	100129195		ZSCAN16 antisense RNA 1		14	0.792	0.269		0.1		1.0	1	1	2017.0	2017.0
Parkinson Disease	C0030567	CCNT2-AS1	100129961		CCNT2 antisense RNA 1		12	0.931	0.115		0.1		1.0	4	2	2011.0	2017.0
Parkinson Disease	C0030567	MAPT-IT1	100130148		MAPT intronic transcript 1		2	0.931	0.115		0.1		1.0	1	1	2011.0	2011.0
